CHR,GENE,N_SNPS,SNP_FIRST,SNP_LAST
20,GENE_1,17,8,24
20,GENE_2,12,27,38
20,GENE_3,9,54,62
20,GENE_4,5,98,102
20,GENE_5,25,107,131
20,GENE_6,2,132,133
20,GENE_7,7,137,143
20,GENE_8,13,498,510
20,GENE_9,9,512,520
20,GENE_10,9,522,530
20,GENE_11,3,534,536
20,GENE_12,25,544,568
20,GENE_13,268,666,933
20,GENE_14,8,1003,1010
20,GENE_15,12,1015,1026
20,GENE_16,12,1029,1040
20,GENE_17,8,1045,1052
20,GENE_18,43,1106,1148
20,GENE_19,21,1159,1179
20,GENE_20,5,1181,1185
20,GENE_21,9,1190,1198
20,GENE_22,4,1206,1209
20,GENE_23,21,1212,1232
20,GENE_24,3,1238,1240
20,GENE_25,3,1241,1243
20,GENE_26,12,1245,1256
20,GENE_27,13,1257,1269
20,GENE_28,4,1281,1284
20,GENE_29,5,1291,1295
20,GENE_30,12,1297,1308
20,GENE_31,5,1323,1327
20,GENE_32,3,1328,1330
20,GENE_33,16,1336,1351
20,GENE_34,3,1354,1356
20,GENE_35,4,1359,1362
20,GENE_36,2,1370,1371
20,GENE_37,2,1376,1377
20,GENE_38,5,1385,1389
20,GENE_39,7,1396,1402
20,GENE_40,2,1406,1407
20,GENE_41,2,1408,1409
20,GENE_42,2,1412,1413
20,GENE_43,5,1415,1419
20,GENE_44,2,1432,1433
20,GENE_45,4,1446,1449
20,GENE_46,4,1456,1459
20,GENE_47,3,1461,1463
20,GENE_48,3,1466,1468
20,GENE_49,3,1467,1469
20,GENE_50,7,1475,1481
20,GENE_51,3,1482,1484
20,GENE_52,4,1489,1492
20,GENE_53,3,1492,1494
20,GENE_54,5,1495,1499
20,GENE_55,2,1501,1502
20,GENE_56,3,1503,1505
20,GENE_57,7,1510,1516
20,GENE_58,4,1524,1527
20,GENE_59,5,1529,1533
20,GENE_60,5,1534,1538
20,GENE_61,19,1557,1575
20,GENE_62,2,1608,1609
20,GENE_63,3,1629,1631
20,GENE_64,31,1648,1678
20,GENE_65,2,1679,1680
20,GENE_66,6,1684,1689
20,GENE_67,75,1721,1795
20,GENE_68,14,1804,1817
